tabelog_site,restaurant_name,rating,rating_users,save_users,main_genre,address_region,address_locality,address_street,closest_station,lunch_budget,dinner_budget,review_lunch_budget,review_dinner_budget,award_medals,award_selections,award_kamiawa,genre,transportation,closed_dates,opening_hrs,reservation_status,payment_methods,no_of_seats,official_website,social_account,opening_date,remarks,branches,lat,lng,image,name,price_range,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,prev_rating,prev_rating_users,prev_save_users
https://tabelog.com/kyoto/A2601/A260301/26018788/,進々堂 三条河原町店,3.26,249,10121,パン,京都府,京都市中京区,三条通河原町東入ル中島町74 ザ ロイヤルパークホテル 京都三条 1F,京都市役所前駅,"￥1,000～￥1,999","￥1,000～￥1,999","￥1,000～￥1,999",～￥999,,,,パン、洋食、カフェ,"京阪電車「三条」より徒歩5分地下鉄三条京阪駅より三条通を西へ約100m
京都市役所前駅から229m",,07:30 - 21:00,予約不可,"カード可

（VISA、Master、JCB、AMEX、Diners、UnionPay）



電子マネー可
（交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay）


QRコード決済不可",50席,https://www.shinshindo.jp/branches/sanjo.html,"https://www.facebook.com/shinshindo1913

https://www.instagram.com/shinshindo1913",2011年10月8日,この三条店はベーカリーレストランの形態を取っています。洋食のジャンルとしているのは、パスタやハンバーグ等の洋食系メニューも取り揃えている為。詳細は店舗ＨＰで各時間帯でのメニューを確認下さい。,tabelog.com/grouplst/G02650/,35.00900827,135.7695157,https://tblg.k-img.com/restaurant/images/Rvw/339207/640x640_rect_762a013384bc474dcc5cd4f600b1a92b.jpg,進々堂 三条河原町店,"￥1,000～￥1,999",,,,,,,,,,,,,,,,,,,,,,,,,3.26,249,10121
https://tabelog.com/kyoto/A2601/A260301/26002743/,玄品 京都祇園 ふぐ・うなぎ・かに料理（【旧店名】玄品ふぐ 祇園の関）,3.07,30,1135,ふぐ,京都府,京都市東山区,四条東山下ル 祇園町南側528-4,祇園四条駅,"￥4,000～￥4,999","￥6,000～￥7,999",,"￥4,000～￥4,999",,,神泡認定店,ふぐ、うなぎ、居酒屋,"京阪電鉄本線 祇園四条駅 6番出口 徒歩8分阪急京都線 河原町駅 徒歩11分
祇園四条駅から497m",,"月・火・水・木・金



17:00 - 22:00
L.O. 料理21:00 ドリンク21:30





土・日・祝日



12:00 - 15:00
L.O. 料理14:00 ドリンク14:30


17:00 - 22:00
L.O. 料理21:00 ドリンク21:30",予約可,"カード可

（VISA、Master、JCB、AMEX、UnionPay）



電子マネー不可


QRコード決済可

（PayPay、楽天ペイ、au PAY、Alipay、WeChat Pay）",46席,http://www.tettiri.com/,"https://www.facebook.com/XuanPinfugu

https://x.com/guenpin

https://www.instagram.com/guenpin_official/?hl=ja",,※鰻の販売はお休みしております,tabelog.com/grouplst/G00180/,35.00281691,135.777316,https://tblg.k-img.com/restaurant/images/Rvw/303218/640x640_rect_a6ac941cca8a2ef79a6a9f6748feeb1a.jpg,玄品 京都祇園 ふぐ・うなぎ・かに料理,"￥6,000～￥7,999",,,,,,,,,,,,,,,,,,,,,,,,,3.07,30,1135
https://tabelog.com/kyoto/A2601/A260301/26033529/,琥珀,3.53,34,2829,バー,京都府,京都市東山区,高台寺桝屋町360 パークハイアット京都 4F,祇園四条駅,,"￥4,000～￥4,999",,"￥6,000～￥7,999",,,,バー,"JR京都駅よりタクシー乗車にて約15分市バス乗車にて約15分　｢東山安井」停下車 徒歩6分阪急電車「河原町」駅2番出口よりタクシー乗車にて　約7分徒歩にて約18分
祇園四条駅から964m",,"16:00 - 00:00
L.O. 23:30






■ 定休日ホテル営業に準ずる",予約不可,"カード可

（VISA、Master、JCB、AMEX、Diners）



電子マネー不可


QRコード決済不可","16席

（カウンター席のご用意となります。）",https://www.hyatt.com/ja-JP/hotel/japan/park-hyatt-kyoto/itmph/dining/kohaku,https://www.instagram.com/parkhyattkyoto/,,※お電話のお問合せは当日午前9:00以降にホテルにご連絡ください。,,34.99893524,135.7809078,https://tblg.k-img.com/restaurant/images/Rvw/220415/640x640_rect_accd3f29b4a6f84fe78c4e09a3a1fc20.jpg,琥珀,"￥4,000～￥4,999",,,,,,,,,,,,,,,,,,,,,,,,,3.53,34,2829
https://tabelog.com/kyoto/A2601/A260301/26016565/,瓢亭 別館（ひょうてい）,3.69,429,17027,日本料理,京都府,京都市左京区,南禅寺草川町35,蹴上駅,"￥6,000～￥7,999",,"￥5,000～￥5,999","￥4,000～￥4,999",,,,日本料理,"地下鉄蹴上　徒歩5分
蹴上駅から471m",,"08:00 - 11:00


12:00 - 16:00






■ 営業時間[3月16日～11月30日]8:00～11:0012:00～16:00[12月1日～3月15日]9:00～11:0012:00～16:00■ 定休日＜本店＞第２第４火曜日 ＜別館＞毎週木曜日


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",予約可,"カード可

（VISA、JCB、AMEX、Diners）



電子マネー不可


QRコード決済不可",78席,http://hyotei.co.jp/,"https://www.facebook.com/hyoteikyoto

https://www.instagram.com/hyoteikyoto/",1972年,,,35.01142081,135.7867718,https://tblg.k-img.com/restaurant/images/Rvw/135200/640x640_rect_135200611.jpg,瓢亭 別館,&nbsp;,,,,,,,,,,,,,,,,,,,,,,,,,3.69,429,17027
https://tabelog.com/kyoto/A2601/A260201/26000766/,露庵 菊乃井 木屋町店（ろあん 菊の井）,3.61,189,9287,日本料理,京都府,京都市下京区,木屋町通四条下ル斉藤町118,祇園四条駅,"￥10,000～￥14,999","￥20,000～￥29,999","￥15,000～￥19,999","￥20,000～￥29,999",,,,日本料理,"阪急「河原町駅」１番南出口から徒歩1分。京阪「祇園四条駅」3番出口から徒歩3分。
祇園四条駅から115m",水曜日,"月・火・木・金・土・日



11:30 - 13:30


17:00 - 19:30





水



定休日






■ 営業時間昼ランチ11時半と1時半の2グループ■ 定休日年末年始",予約可,"カード可

（VISA、Master、JCB、AMEX、Diners）



電子マネー不可


QRコード決済不可","35席

（カウンター10席、少人数の座敷あり）",https://kikunoi.jp/restaurant/roan.html,https://www.instagram.com/kikunoi_roan/,1976年,,tabelog.com/grouplst/G06751/,35.00346024,135.7706774,https://tblg.k-img.com/restaurant/images/Rvw/326045/640x640_rect_bf485cd39ddbfdcc3564ad8a4782ac9b.jpg,露庵 菊乃井 木屋町店,"￥20,000～￥29,999",,,,,,,,,,,,,,,,,,,,,,,,,3.61,189,9287
https://tabelog.com/tokyo/A1304/A130401/13243239/,博多もつ鍋おおやま 新宿小田急ハルク,3.35,186,7634,もつ鍋,東京都,新宿区,西新宿1-5-1 新宿西口駅前ビル B3F,新宿西口駅,"￥2,000～￥2,999","￥4,000～￥4,999","￥4,000～￥4,999","￥6,000～￥7,999",,,,もつ鍋、居酒屋、郷土料理,"ＪＲ新宿駅　西口　徒歩1分　地下鉄丸ノ内線新宿駅　B18番出口　徒歩1分新宿西口駅から112m
新宿西口駅から131m",,"11:00 - 23:00
L.O. 料理22:00 ドリンク22:30






■ 営業時間ランチタイム　11：00～16：00■ 定休日未定",予約可,"カード可

（VISA、Master、JCB、AMEX、Diners）



電子マネー可
（交通系電子マネー（Suicaなど））


QRコード決済可

（PayPay）",132席,https://www.motu-ooyama.com/shop/shinjuku/,https://www.instagram.com/ooyama.motu/?hl=ja,2020年3月16日,混雑時は2時間制を頂戴する場合がございます。予めご了承ください。SNSも随時配信中！！ぜひ、チェックしてみてください！Instagram：https://www.instagram.com/ooyama.motu/?hl=jaYouTube：https://www.youtube.com/channel/UCHW2YYFl59_FrjzJvIiztVg,tabelog.com/grouplst/G03626/,35.69240902,139.6991065,https://tblg.k-img.com/restaurant/images/Rvw/128080/640x640_rect_128080618.jpg,博多もつ鍋おおやま 新宿小田急ハルク,"￥4,000～￥4,999",,,,,,,,,,,,,,,,,,,,,,,,,3.35,186,7634
https://tabelog.com/tokyo/A1304/A130401/13017320/,ニューヨーク・バー,3.59,293,10686,バー,東京都,新宿区,西新宿3-7-1 パークハイアット東京　５２Ｆ,初台駅,,,,"￥10,000～￥14,999",,,,バー、カフェ,初台駅から575m,,"17:00 - 00:00
L.O. 料理23:00 ドリンク00:00




営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",予約不可,"カード可


電子マネー可


QRコード決済不可",,https://restaurants.tokyo.park.hyatt.co.jp/newyorkbar/,,,,,35.68548288,139.6907715,https://tblg.k-img.com/restaurant/images/Rvw/165813/640x640_rect_35313d4f5b2401a89c42ddb3ebbe96e1.jpg,ニューヨーク・バー,"￥10,000～￥14,999",,,,,,,,,,,,,,,,,,,,,,,,,3.59,293,10686
https://tabelog.com/tokyo/A1303/A130301/13240252/,天寅 渋谷スクランブルスクエア店,3.35,116,2775,天ぷら,東京都,渋谷区,渋谷2-24-12 渋谷スクランブルスクエア 13F,渋谷駅,"￥1,000～￥1,999","￥3,000～￥3,999","￥1,000～￥1,999","￥2,000～￥2,999",,,,天ぷら、バル、天丼,"東京都渋谷区渋谷2丁目24番12号１３F渋谷駅直結JR南口改札から東口方面にお進みください。地下出入り口番号B6
渋谷駅から110m",,"11:00 - 23:00






■ 営業時間ランチタイム　11:00～1８:00ディナータイム1８:00～23:00(L.O) 　22:00　　　　　 　　 ■ 定休日無休(年末年始休あり)",予約不可,"カード可

（VISA、Master、JCB、AMEX、Diners、UnionPay）



電子マネー可
（交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay）


QRコード決済可

（PayPay、d払い、楽天ペイ、au PAY、Alipay、WeChat Pay）",29席,,https://www.instagram.com/tentora1101,2019年11月1日,,,35.65832754,139.7022412,https://tblg.k-img.com/restaurant/images/Rvw/146894/640x640_rect_146894118.jpg,天寅 渋谷スクランブルスクエア店,"￥3,000～￥3,999",,,,,,,,,,,,,,,,,,,,,,,,,3.35,116,2775
https://tabelog.com/tokyo/A1301/A130101/13125046/,スリオラ（ZURRIOLA）,4.29,509,35180,スペイン料理,東京都,中央区,銀座6-8-7 交詢ビル　4Ｆ,銀座駅,"￥15,000～￥19,999","￥40,000～￥49,999","￥20,000～￥29,999","￥50,000～￥59,999","The Tabelog Award 2026 Bronze 受賞店, The Tabelog Award 2025 Bronze 受賞店, The Tabelog Award 2024 Bronze 受賞店, The Tabelog Award 2023 Bronze 受賞店, The Tabelog Award 2022 Bronze 受賞店, The Tabelog Award 2021 Bronze 受賞店, The Tabelog Award 2020 Bronze 受賞店, The Tabelog Award 2019 Bronze 受賞店",食べログ スペイン料理 百名店 2024 選出店,,スペイン料理,"東京メトロ　銀座駅 A1・A2出口から徒歩3分JR新橋駅銀座口から徒歩7分
銀座駅から226m",月曜日、火曜日,"水・木・金・土・日



11:30 - 15:00
L.O. 料理13:00


18:00 - 22:30
L.O. 料理19:30





月・火



定休日






■ 定休日月曜日　火曜日　他臨時休業、営業ありL.O時間は最終入店時間となります。",予約可,"カード可

（VISA、Master、JCB、AMEX、Diners、UnionPay）



電子マネー不可


QRコード決済不可","29席

（個室2室・カウンター9席・テーブル5卓）",http://zurriola.jp/,https://www.instagram.com/zurriola_tokyo/,,ご予約は以下のURL又はお電話にて承ります。ご予約お待ちしております。http://zurriola.jp/＊中学生以上（13歳以上）のみのご案内となります。　（コースもご一緒の物をご注文願います。）　（12歳以下のお客様はご入店出来ませんので、ご注意くださいますよう　　お願い申し上げます。）,,35.67013842,139.7628674,https://tblg.k-img.com/restaurant/images/Rvw/76468/320x320_rect_76468408.jpg,スリオラ,"￥40,000～￥49,999",,,,,,,,,,,,,,,,,,,,,,,,,4.29,509,35180
https://tabelog.com/tokyo/A1301/A130103/13005003/,銀座 鮨 かねさか 本店,3.92,491,31168,寿司,東京都,中央区,銀座8-10-3 三鈴ビル　Ｂ１Ｆ,新橋駅,,,"￥30,000～￥39,999","￥60,000～￥79,999","The Tabelog Award 2026 Bronze 受賞店, The Tabelog Award 2021 Bronze 受賞店, The Tabelog Award 2020 Bronze 受賞店, The Tabelog Award 2019 Bronze 受賞店, The Tabelog Award 2018 Bronze 受賞店, The Tabelog Award 2017 Bronze 受賞店","食べログ 寿司 TOKYO 百名店 2025 選出店, 食べログ 寿司 TOKYO 百名店 2022 選出店, 食べログ 寿司 TOKYO 百名店 2021 選出店",,寿司,"東京メトロ銀座駅　[A4]出口より徒歩5分JR／メトロ／都営新宿線新橋駅[銀座口]より徒歩5分 
新橋駅から435m",月曜日、日曜日,"火・水・木・金・土



12:00 - 14:00


17:30 - 22:00





月・日



定休日




営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",予約可,"カード可

（VISA、Master、JCB、AMEX、Diners）



電子マネー不可


QRコード決済可

（d払い）","8席

（カウンターのみ）",http://www.sushi-kanesaka.com/,https://www.facebook.com/sushi.kanesaka/?ref=page_internal&mt_nav=0,,,,35.66799352,139.762638,https://tblg.k-img.com/restaurant/images/Rvw/122299/640x640_rect_122299741.jpg,銀座 鮨 かねさか 本店,"￥60,000～￥79,999",,,,,,,,,,,,,,,,,,,,,,,,,3.92,491,31168
https://tabelog.com/tokyo/A1306/A130602/13021167/,やさい家めい 表参道ヒルズ店,3.35,497,20972,野菜料理,東京都,渋谷区,神宮前4-12-10 表参道ヒルズ 本館 3Ｆ,明治神宮前駅,"￥3,000～￥3,999","￥5,000～￥5,999","￥3,000～￥3,999","￥8,000～￥9,999",,,,野菜料理,"地下鉄表参道駅から徒歩５分、表参道ヒルズ内
明治神宮前駅から362m",,"月・火・水・木



11:00 - 16:00


17:00 - 22:30





金



11:00 - 16:00


17:00 - 23:00





土



11:00 - 23:00





日



11:00 - 22:30",予約可,"カード可

（VISA、Master、JCB、AMEX、Diners、UnionPay）



電子マネー可
（交通系電子マネー（Suicaなど）、楽天Edy、nanaco、iD、QUICPay）


QRコード決済可

（PayPay、d払い、楽天ペイ、au PAY、Alipay、WeChat Pay）",50席,https://yasaiya-mei.com/1647/,"https://www.facebook.com/yasaiyamei/

https://www.instagram.com/mei_omotesando/",2006年2月11日,※駐車場は表参道ヒルズの駐車場をご利用ください（駐車料サービスあり）,tabelog.com/grouplst/G02144/,35.66723834,139.7087626,https://tblg.k-img.com/restaurant/images/Rvw/55523/320x320_square_55523201.jpg,やさい家めい 表参道ヒルズ店,"￥5,000～￥5,999",,,,,,,,,,,,,,,,,,,,,,,,,3.35,497,20972
https://tabelog.com/kyoto/A2601/A260202/26028692/,高野麦酒店takanoya,3.36,49,3787,ビアバー,京都府,京都市中京区,蒔絵屋町255,丸太町駅（京都市営）,,"￥3,000～￥3,999",,"￥1,000～￥1,999",,,,ビアバー、居酒屋、ダイニングバー,"京都市営地下鉄烏丸線丸太町駅7番出口より徒歩2分、または京都市営地下鉄烏丸線・東西線烏丸御池駅2番出口より徒歩6分
丸太町駅（京都市営）から195m",水曜日,"月・火・木・金



16:00 - 23:00





土・日・祝日



15:00 - 23:00





水



定休日",予約可,"カード可

（VISA、Master、JCB、AMEX、Diners）



電子マネー不可


QRコード決済可

（PayPay）","34席

（カウンター席16席、テーブル4名・6名・6名）",https://kkzn.co.jp/,"https://www.facebook.com/gosyominami/?ref

https://www.instagram.com/takanoyagosyominami",2017年3月19日,,,35.01478624,135.7594213,https://tblg.k-img.com/restaurant/images/Rvw/119503/640x640_rect_119503297.jpg,高野麦酒店takanoya,"￥3,000～￥3,999",,,,,,,,,,,,,,,,,,,,,,,,,3.36,49,3787
